genre,user_id,playtime_forever
Action,Sp3ctre,1699307
Adventure,REBAS_AS_F-T,2191551
Animation & Modeling,ScottyG555,168314
Audio Production,Lickidactyl,109916
Casual,REBAS_AS_F-T,1224933
Design & Illustration,ScottyG555,168314
Early Access,76561197978756659,316969
Education,76561198059330972,65427
Free to Play,idonothack,808241
Indie,REBAS_AS_F-T,2402994
Massively Multiplayer,Evilutional,688260
Photo Editing,Sky_Wolf,21885
RPG,shinomegami,1060592
Racing,DownSyndromeKid,743445
Simulation,jimmynoe,1062130
Software Training,Lickidactyl,109916
Sports,76561197995725436,193206
Strategy,shinomegami,1141546
Utilities,76561198073642113,207651
Video Production,ScottyG555,168314
Web Publishing,Xyphien,142964
